Sinif_Grubu,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04,2023.05,2023.06,2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2024.01,2024.02,2024.03,2024.04,2024.05,2024.06,2024.07,2024.08,2024.09,2024.10,2024.11,2024.12,2025.01,2025.02,2025.03,2025.04,2025.05,2025.06,2025.07,2025.08,2025.09,2025.10,2025.11,2025.12,2026.01,2026.02
Diğer,7930.0,10351.0,9595.0,9382.0,7238.0,4469.0,2125.0,271.0,251.0,311.0,110.0,189.0,263.0,556.0,999.0,2054.0,2131.0,1842.0,2699.0,2103.0,1293.0,1235.0,1761.0,1209.0,1834.0,7123.0,3009.0,2964.0,1507.0,2906.0,2102.0,959.0,1173.0,1266.0,1300.0,1477.0,3294.0,5770.0,1660.0,2466.0,950.0,1002.0,581.0,409.0,400.0,322.0,884.0,521.0,3262.0,6426.0,2265.0,1381.0,968.0,892.0
LGS Grubu,421.0,1020.0,1497.0,918.0,1015.0,258.0,60.0,13.0,13.0,40.0,10.0,11.0,18.0,78.0,151.0,180.0,149.0,188.0,113.0,19.0,21.0,37.0,144.0,232.0,281.0,113.0,104.0,92.0,106.0,82.0,100.0,18.0,8.0,38.0,34.0,53.0,176.0,200.0,110.0,343.0,136.0,51.0,20.0,10.0,7.0,32.0,32.0,41.0,174.0,404.0,194.0,294.0,462.0,370.0
Lise (9-11),178.0,140.0,91.0,64.0,54.0,35.0,6.0,0.0,0.0,0.0,0.0,2.0,13.0,172.0,192.0,425.0,227.0,121.0,144.0,49.0,27.0,64.0,146.0,205.0,164.0,488.0,290.0,470.0,282.0,282.0,235.0,67.0,43.0,160.0,195.0,101.0,275.0,201.0,119.0,320.0,84.0,64.0,48.0,15.0,11.0,9.0,26.0,24.0,220.0,727.0,261.0,279.0,59.0,133.0
Ortaokul (5-7),1353.0,2232.0,2794.0,1793.0,1251.0,347.0,126.0,15.0,30.0,94.0,7.0,12.0,52.0,229.0,709.0,1402.0,1192.0,608.0,589.0,393.0,167.0,436.0,627.0,352.0,413.0,1213.0,1171.0,1707.0,1733.0,1415.0,1659.0,333.0,188.0,364.0,406.0,356.0,1752.0,5354.0,1733.0,1221.0,838.0,683.0,466.0,91.0,65.0,515.0,729.0,444.0,3271.0,6536.0,2852.0,2944.0,6356.0,5444.0
Sınav Hazırlık (Memurluk/Lisansüstü),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,93.0,231.0,84.0,84.0,86.0,153.0,90.0
YKS/Üniversite Hazırlık,857.0,560.0,611.0,790.0,485.0,378.0,73.0,8.0,12.0,73.0,17.0,32.0,37.0,46.0,61.0,170.0,181.0,177.0,230.0,148.0,147.0,252.0,419.0,393.0,260.0,152.0,150.0,162.0,150.0,185.0,182.0,48.0,32.0,119.0,293.0,380.0,450.0,343.0,144.0,175.0,92.0,54.0,23.0,26.0,34.0,97.0,107.0,280.0,539.0,316.0,158.0,166.0,133.0,132.0
İlkokul (1-4),201.0,438.0,861.0,970.0,1279.0,66.0,29.0,7.0,3.0,9.0,3.0,9.0,77.0,390.0,474.0,1066.0,1340.0,377.0,428.0,253.0,136.0,302.0,421.0,201.0,149.0,591.0,702.0,1066.0,1174.0,676.0,391.0,194.0,184.0,333.0,525.0,423.0,707.0,478.0,222.0,888.0,451.0,113.0,152.0,155.0,98.0,442.0,701.0,334.0,969.0,1345.0,996.0,1143.0,1495.0,726.0
